client_id,clnt_age,clnt_tenure_yr,gendr,num_accts,bal,calls_6_mnth,logons_6_mnth,tenure_segment,age_segment,bal_category
16295,55,23,F,2,77984.93,2,5,long_tenure,middle,medio
16549,55,24,F,3,314799.02,4,7,long_tenure,middle,alto
16679,40,7,U,2,65987.79999999999,6,9,new,middle,medio
16744,62,18,F,2,117267.04,1,4,long_tenure,old,medio
16747,31,13,F,2,64652.09,1,4,long_tenure,young,medio
16881,55,5,U,3,72457.16,6,9,new,middle,medio
17008,55,25,M,2,27571.03,1,4,long_tenure,middle,bajo
17036,34,5,U,3,49959.53,3,6,new,middle,medio
17160,53,14,F,3,140511.63,6,9,long_tenure,middle,alto
17170,63,15,M,2,83531.35,3,6,long_tenure,old,medio
17318,69,16,M,2,51120.27,0,3,long_tenure,old,medio
17404,37,5,U,2,45770.59,3,6,new,middle,medio
18549,43,22,M,3,55374.98,4,7,long_tenure,middle,medio
18660,45,18,M,2,98708.9,2,5,long_tenure,middle,medio
18973,54,13,M,4,353529.66,1,4,long_tenure,middle,alto
19060,55,9,M,2,70494.94,0,3,new,middle,medio
19613,26,7,U,2,69056.51999999999,4,7,new,young,medio
19782,61,6,U,2,27840.35,2,5,new,old,bajo
19813,65,14,F,2,31462.06,0,3,long_tenure,old,bajo
19832,63,14,F,2,97291.64,3,6,long_tenure,old,medio
20091,21,5,U,3,69958.08,5,8,new,young,medio
20185,60,15,F,2,69992.51999999999,2,5,long_tenure,old,medio
20537,74,9,F,2,72955.33,6,9,new,old,medio
20564,55,10,M,6,1648443.6,3,6,long_tenure,middle,alto
20643,34,9,M,2,59487.79,2,5,new,middle,medio
20668,68,28,F,2,38528.21,5,8,long_tenure,old,medio
20898,27,4,U,2,44859.81,3,6,new,young,medio
21200,61,5,U,2,244443.18,6,9,new,old,alto
21242,30,13,F,2,42414.56,6,9,long_tenure,young,medio
21281,63,12,M,2,24221.12,0,3,long_tenure,old,bajo
21353,77,21,F,2,25418.25,2,5,long_tenure,old,bajo
21403,41,11,F,2,74353.32,1,4,long_tenure,middle,medio
21498,70,16,F,2,50672.1,5,8,long_tenure,old,medio
21522,65,4,F,2,76748.89,6,9,new,old,medio
21596,43,11,U,2,56511.63,0,3,long_tenure,middle,medio
21719,27,5,M,2,30765.88,0,3,new,young,bajo
21940,43,12,M,2,33031.88,6,9,long_tenure,middle,bajo
21970,22,5,U,4,170906.62,4,7,new,young,alto
22007,75,10,F,2,168540.65000000002,6,9,long_tenure,old,alto
22793,55,16,M,2,219289.2,1,4,long_tenure,middle,alto
22885,32,5,F,3,149784.99,6,9,new,young,alto
23276,67,13,M,2,183345.95,3,6,long_tenure,old,alto
23864,47,16,M,2,192922.53,2,5,long_tenure,middle,alto
23914,25,7,U,2,30797.88,4,7,new,young,bajo
24079,30,10,F,2,183067.04,6,9,long_tenure,young,alto
24443,49,10,M,2,331869.28,6,9,long_tenure,middle,alto
24572,23,6,F,2,52351.16,3,6,new,young,medio
24703,30,5,F,3,30123.94,6,9,new,young,bajo
24710,49,21,F,3,499093.11,4,7,long_tenure,middle,alto
24841,70,14,M,2,122013.3,6,9,long_tenure,old,medio
25022,26,8,U,2,75836.08,3,6,new,young,medio
25026,62,10,M,2,49325.12,6,9,long_tenure,old,medio
25043,59,25,F,2,101511.78,6,9,long_tenure,middle,medio
25766,33,15,F,2,70057.79000000001,0,3,long_tenure,middle,medio
26036,28,12,M,3,41695.78999999999,6,9,long_tenure,young,medio
26070,24,10,M,2,42777.59,1,5,long_tenure,young,medio
26105,33,5,U,2,80349.53,0,3,new,middle,medio
26211,41,15,F,2,175885.87,0,3,long_tenure,middle,alto
26286,71,12,F,2,27511.56,3,6,long_tenure,old,bajo
26696,59,29,M,4,548368.8,5,8,long_tenure,middle,alto
27021,34,9,M,3,94571.25,6,9,new,middle,medio
27075,53,20,M,2,252504.83,1,4,long_tenure,middle,alto
27241,34,8,U,5,645122.5,6,9,new,middle,alto
27554,36,16,M,2,88188.19,3,6,long_tenure,middle,medio
27764,23,4,U,2,30495.82,1,4,new,young,bajo
27907,52,4,U,2,29550.08,0,3,new,middle,bajo
27988,60,28,F,3,303467.75,6,9,long_tenure,old,alto
28241,48,6,M,3,421518.75,5,8,new,middle,alto
28371,34,11,M,3,307545.14,6,9,long_tenure,middle,alto
28542,55,16,M,3,392091.16,0,3,long_tenure,middle,alto
28705,53,15,F,2,24910.86,6,9,long_tenure,middle,bajo
28845,33,12,M,2,129771.01,1,4,long_tenure,middle,medio
28857,52,14,M,2,104511.86,3,6,long_tenure,middle,medio
29227,69,15,F,3,73112.36,1,4,long_tenure,old,medio
29527,51,10,F,2,48361.4,0,3,long_tenure,middle,medio
29595,37,5,U,2,46514.58,3,6,new,middle,medio
30318,54,4,U,3,91676.51,4,7,new,middle,medio
30462,66,15,M,2,235960.05,3,6,long_tenure,old,alto
30493,49,15,F,2,169561.27000000002,0,3,long_tenure,middle,alto
31191,20,15,M,2,26368.84,3,6,long_tenure,young,bajo
31264,37,14,M,2,60888.18,5,8,long_tenure,middle,medio
31336,28,10,M,3,50968.89,6,9,long_tenure,young,medio
31404,54,22,U,2,43254.15,3,6,long_tenure,middle,medio
31499,66,20,M,3,211432.85,3,6,long_tenure,old,alto
31502,47,7,U,2,57208.46,1,4,new,middle,medio
31597,68,6,U,2,144290.56,6,9,new,old,alto
31715,32,7,U,2,44980.67999999999,1,4,new,young,medio
31766,19,14,F,2,26438.88,3,6,long_tenure,young,bajo
32197,42,15,M,2,36420.05,1,4,long_tenure,middle,bajo
32305,69,7,F,2,239151.07,2,5,new,old,alto
32471,57,12,F,2,36440.11,2,5,long_tenure,middle,bajo
32521,57,14,F,2,71650.0,3,6,long_tenure,middle,medio
32746,40,14,F,2,63460.18,3,6,long_tenure,middle,medio
32859,66,4,U,2,36500.69,1,4,new,old,bajo
33190,44,14,F,2,108890.4,5,8,long_tenure,middle,medio
33265,42,18,U,3,499871.06,6,9,long_tenure,middle,alto
33463,33,4,U,2,41910.53999999999,2,5,new,middle,medio
33472,42,5,U,2,42918.45,6,9,new,middle,medio
33752,51,8,F,2,27416.12,0,3,new,middle,bajo
34067,65,21,M,3,66801.59,4,7,long_tenure,old,medio
34101,52,16,F,2,146810.53,2,5,long_tenure,middle,alto
34267,74,21,M,2,38494.91,1,4,long_tenure,old,medio
34501,40,11,F,2,110211.33,2,5,long_tenure,middle,medio
34603,40,16,M,2,58331.59,0,3,long_tenure,middle,medio
34608,40,17,F,2,163981.37,6,9,long_tenure,middle,alto
34631,52,12,M,2,25427.2,3,6,long_tenure,middle,bajo
35010,47,8,U,2,99482.03,4,7,new,middle,medio
35087,22,13,M,3,49199.85,0,3,long_tenure,young,medio
35091,24,7,U,2,28881.02,0,3,new,young,bajo
35138,81,24,F,3,794375.0900000001,3,6,long_tenure,old,alto
35181,48,15,M,2,24566.59,1,4,long_tenure,middle,bajo
35257,32,7,U,2,60991.71,2,5,new,young,medio
35346,32,7,U,3,57444.72,3,6,new,young,medio
35417,26,19,F,2,73654.44,3,6,long_tenure,young,medio
35476,31,20,M,2,86568.15,6,9,long_tenure,young,medio
35922,44,4,U,2,65375.71,4,7,new,middle,medio
36109,71,21,M,4,68812.69,6,9,long_tenure,old,medio
36342,49,18,M,2,474178.57,1,4,long_tenure,middle,alto
36363,30,6,U,2,67935.79000000001,6,9,new,young,medio
36430,57,6,F,3,115992.74,3,6,new,middle,medio
36432,59,29,F,2,114138.71,2,5,long_tenure,middle,medio
36555,70,15,M,2,405169.15,4,7,long_tenure,old,alto
36986,77,26,M,2,234612.34000000003,5,8,long_tenure,old,alto
37064,32,5,U,2,31717.63,6,9,new,young,bajo
37295,31,7,U,2,57177.26,3,6,new,young,medio
37408,46,6,U,2,35471.71,0,3,new,middle,bajo
37423,48,17,U,2,66037.22,6,9,long_tenure,middle,medio
37667,32,10,F,2,79397.82,3,6,long_tenure,young,medio
37691,30,20,M,3,27675.77,0,3,long_tenure,young,bajo
37705,24,7,U,3,52655.91,2,5,new,young,medio
37897,61,13,F,4,207677.37,6,9,long_tenure,old,alto
38275,57,5,U,2,27780.68,0,3,new,middle,bajo
38283,55,7,U,2,120493.88,6,9,new,middle,medio
38340,38,6,U,2,55491.25,2,5,new,middle,medio
38551,64,20,M,2,169952.78999999998,4,7,long_tenure,old,alto
38685,53,20,F,3,116735.94,4,7,long_tenure,middle,medio
38714,60,10,M,2,51584.55,6,9,long_tenure,old,medio
38775,43,23,F,2,30499.53,1,4,long_tenure,middle,bajo
38930,25,22,F,2,66409.57,3,6,long_tenure,young,medio
38963,45,20,M,2,752084.8200000001,0,5,long_tenure,middle,alto
39004,48,19,M,2,54444.15,6,9,long_tenure,middle,medio
39075,62,14,F,2,226185.21,2,5,long_tenure,old,alto
39566,32,8,M,3,41781.78999999999,3,6,new,young,medio
39968,50,4,F,2,58599.55,3,6,new,middle,medio
40283,43,14,F,2,59625.44,6,9,long_tenure,middle,medio
40439,35,7,M,3,55092.57,6,9,new,middle,medio
40969,49,7,U,2,260217.2,0,3,new,middle,alto
41122,26,4,U,2,32267.32,1,4,new,young,bajo
41142,38,6,U,2,182599.59000000003,6,9,new,middle,alto
41199,54,6,M,2,377373.55,4,7,new,middle,alto
41237,49,5,U,2,27571.33,2,5,new,middle,bajo
41516,55,8,F,2,139892.15,2,5,new,middle,alto
41652,55,7,U,2,32307.6,0,3,new,middle,bajo
41924,52,21,M,3,46360.88,6,9,long_tenure,middle,medio
42082,36,16,F,2,47308.03,0,3,long_tenure,middle,medio
42296,81,28,M,2,55745.51,2,5,long_tenure,old,medio
42349,23,17,U,2,36845.23,3,6,long_tenure,young,bajo
42725,23,4,U,2,40371.86,0,3,new,young,medio
43494,62,22,F,2,119162.85,3,6,long_tenure,old,medio
43645,81,15,F,2,171674.26,0,3,long_tenure,old,alto
43766,44,11,M,2,29334.71,0,3,long_tenure,middle,bajo
44060,44,5,U,2,142002.43,2,5,new,middle,alto
44216,44,16,M,2,79616.53,6,9,long_tenure,middle,medio
44705,55,15,M,2,56823.68,1,4,long_tenure,middle,medio
44860,31,4,U,2,59942.13,2,5,new,young,medio
44932,30,12,M,3,177651.03999999998,3,6,long_tenure,young,alto
44995,75,11,M,2,30987.82,1,4,long_tenure,old,bajo
45131,76,5,U,2,391280.54,6,9,new,old,alto
45232,63,4,U,3,33799.5,6,9,new,old,bajo
45485,67,21,M,5,653676.8500000001,6,9,long_tenure,old,alto
45510,31,7,U,2,32355.59,6,9,new,young,bajo
46223,67,9,M,2,136226.01,5,8,new,old,medio
46790,34,5,U,2,44755.44,6,9,new,middle,medio
46934,36,14,F,2,35918.89,0,4,long_tenure,middle,bajo
47402,27,7,U,2,45676.12,6,9,new,young,medio
47571,25,5,U,2,61967.39,3,6,new,young,medio
47860,37,11,F,2,170343.75,1,4,long_tenure,middle,alto
47933,49,13,F,2,95327.95,1,4,long_tenure,middle,medio
48241,58,21,M,2,51519.06,6,9,long_tenure,middle,medio
48424,42,23,M,3,240048.86,5,8,long_tenure,middle,alto
48431,54,12,F,2,82479.58,4,7,long_tenure,middle,medio
48448,67,8,M,2,53172.78999999999,2,5,new,old,medio
48724,38,4,U,2,53276.8,4,7,new,middle,medio
49412,51,11,M,2,238126.92,1,4,long_tenure,middle,alto
49450,62,22,U,2,31843.88,3,6,long_tenure,old,bajo
49709,67,4,M,2,83722.73,4,7,new,old,medio
49998,32,11,M,2,117055.89,2,5,long_tenure,young,medio
50053,56,5,U,2,68551.89,3,6,new,middle,medio
50090,54,13,M,2,77163.57,4,7,long_tenure,middle,medio
50185,45,5,U,2,37936.41,0,3,new,middle,medio
50271,35,6,U,2,35740.369999999995,5,8,new,middle,bajo
50325,61,15,F,2,54506.61,4,7,long_tenure,old,medio
50599,36,11,M,2,44797.25,2,5,long_tenure,middle,medio
50643,53,11,F,2,145174.91,4,7,long_tenure,middle,alto
50692,54,5,U,2,54807.52,5,8,new,middle,medio
51493,23,8,F,2,32788.57,3,6,new,young,bajo
51526,44,26,M,2,310116.59,2,5,long_tenure,middle,alto
51706,23,6,M,4,140006.03999999998,6,9,new,young,alto
51814,60,24,F,2,236352.06,3,6,long_tenure,old,alto
51902,41,14,M,2,41382.42,4,7,long_tenure,middle,medio
52111,46,8,M,2,72348.72,0,3,new,middle,medio
52309,57,7,M,3,481383.77,0,3,new,middle,alto
52384,62,18,F,2,52521.28999999999,3,6,long_tenure,old,medio
52456,55,5,U,2,312484.73,5,8,new,middle,alto
52461,46,12,F,2,118898.6,1,4,long_tenure,middle,medio
52743,54,6,U,2,41265.11,1,4,new,middle,medio
52765,26,8,U,2,28268.31,1,4,new,young,bajo
53094,29,7,U,2,58994.77,0,3,new,young,medio
53123,54,23,M,3,67585.11,6,9,long_tenure,middle,medio
53126,37,6,U,2,74616.14,1,4,new,middle,medio
53169,44,11,F,2,91918.0,6,9,long_tenure,middle,medio
53396,50,21,M,2,287437.04,2,5,long_tenure,middle,alto
53990,66,9,M,2,39756.46,4,7,new,old,medio
54231,53,14,F,2,1127349.9,0,3,long_tenure,middle,alto
54291,54,14,M,2,31387.6,2,5,long_tenure,middle,bajo
54363,86,16,F,2,340181.99,4,7,long_tenure,old,alto
54477,34,11,F,2,28455.07,3,6,long_tenure,middle,bajo
54893,37,10,M,2,76744.57,0,3,long_tenure,middle,medio
55059,54,21,F,4,620683.92,6,9,long_tenure,middle,alto
55265,29,11,F,2,42724.7,6,9,long_tenure,young,medio
55448,58,9,F,2,41450.38,3,6,new,middle,medio
55951,47,5,U,2,29768.49,2,5,new,middle,bajo
56294,27,7,F,2,27489.64,3,6,new,young,bajo
56529,38,14,M,2,79617.16,6,9,long_tenure,middle,medio
56570,49,14,M,2,56741.95,1,4,long_tenure,middle,medio
56782,45,10,M,2,116019.67,6,9,long_tenure,middle,medio
56923,40,23,F,3,142006.44,4,7,long_tenure,middle,alto
58001,64,17,M,2,587219.4700000001,3,6,long_tenure,old,alto
58194,45,9,F,2,196403.93,5,8,new,middle,alto
58196,45,7,U,2,59031.46,6,9,new,middle,medio
58456,61,15,U,2,33476.259999999995,5,8,long_tenure,old,bajo
58589,41,9,U,2,86738.88,3,6,new,middle,medio
58676,51,4,F,2,42749.84,0,3,new,middle,medio
58867,51,9,M,2,47514.76,3,6,new,middle,medio
58917,73,14,M,2,135903.59,4,7,long_tenure,old,medio
58962,53,5,F,3,85123.89,3,6,new,middle,medio
59089,61,7,U,2,55961.32,0,3,new,old,medio
59152,45,16,U,2,701946.64,6,9,long_tenure,middle,alto
59360,39,17,M,3,421044.15,0,3,long_tenure,middle,alto
59605,59,15,F,2,94987.66,5,8,long_tenure,middle,medio
59782,65,6,U,2,368237.57,2,5,new,old,alto
59802,38,14,M,2,1791639.18,4,7,long_tenure,middle,alto
59860,52,8,F,2,99777.08,3,6,new,middle,medio
60101,43,6,U,2,33508.86,6,9,new,middle,bajo
60802,55,32,F,3,476154.24,6,9,long_tenure,middle,alto
60958,24,5,M,3,54408.88,6,9,new,young,medio
61007,53,16,F,2,108504.65,1,4,long_tenure,middle,medio
61487,26,12,F,2,49454.26,0,3,long_tenure,young,medio
61650,50,10,M,2,208429.91,0,3,long_tenure,middle,alto
61961,73,5,M,2,305284.58,5,8,new,old,alto
62058,42,4,U,3,51675.66,1,4,new,middle,medio
62284,64,8,F,2,33332.71,4,7,new,old,bajo
62498,66,26,F,2,197498.28,0,3,long_tenure,old,alto
62503,37,7,U,2,148326.71,6,9,new,middle,alto
62754,64,23,F,3,67201.89,2,5,long_tenure,old,medio
62791,62,8,U,3,715929.37,6,9,new,old,alto
62805,43,13,F,2,203808.83,2,5,long_tenure,middle,alto
62837,31,14,M,2,141890.14,6,9,long_tenure,young,alto
63001,28,23,M,4,122948.27,5,8,long_tenure,young,medio
63377,26,5,U,2,52217.12,6,9,new,young,medio
63507,31,27,M,2,63604.99,1,4,long_tenure,young,medio
63796,79,15,F,2,49159.28999999999,6,9,long_tenure,old,medio
63879,36,15,F,2,242925.89,3,6,long_tenure,middle,alto
63955,19,14,M,2,69302.67,6,9,long_tenure,young,medio
64020,46,15,F,2,30617.57,0,3,long_tenure,middle,bajo
64058,62,26,M,2,378569.04,6,9,long_tenure,old,alto
64635,70,28,M,3,51077.36,5,8,long_tenure,old,medio
64871,47,15,M,2,59767.83,2,5,long_tenure,middle,medio
64885,61,17,F,2,174277.44,1,4,long_tenure,old,alto
64964,64,28,F,2,309748.62,0,3,long_tenure,old,alto
65221,51,13,F,2,158167.96000000002,2,5,long_tenure,middle,alto
65716,45,12,F,3,124943.26,1,4,long_tenure,middle,medio
65845,61,9,M,3,1404725.64,5,8,new,old,alto
66160,24,5,U,3,141468.63,3,6,new,young,alto
66169,45,14,M,2,36003.61,2,5,long_tenure,middle,bajo
66539,31,21,M,2,30098.62,0,3,long_tenure,young,bajo
66543,65,22,F,2,49652.73,4,7,long_tenure,old,medio
66930,63,5,U,2,89729.45999999999,1,5,new,old,medio
67390,30,11,F,2,50085.64,1,4,long_tenure,young,medio
67452,75,24,U,3,326951.92,5,8,long_tenure,old,alto
67845,85,30,F,2,160364.63,0,4,long_tenure,old,alto
67925,47,16,F,4,1169571.27,5,8,long_tenure,middle,alto
68116,35,4,F,2,50822.41,0,3,new,middle,medio
68170,60,24,F,2,140668.22,0,3,long_tenure,old,alto
68276,59,19,M,3,140757.33000000002,6,9,long_tenure,middle,alto
68830,32,13,M,3,187433.08,6,9,long_tenure,young,alto
68854,51,9,M,2,28772.33,2,5,new,middle,bajo
68884,80,29,F,2,122636.58,0,3,long_tenure,old,medio
68886,51,16,F,3,130556.28,2,5,long_tenure,middle,medio
68963,56,31,M,3,100637.5,6,9,long_tenure,middle,medio
69255,58,10,F,3,183269.84000000003,6,9,long_tenure,middle,alto
69568,26,11,F,2,74271.62,0,3,long_tenure,young,medio
69591,28,21,F,2,64944.76,3,6,long_tenure,young,medio
69598,58,8,F,2,27306.32,3,6,new,middle,bajo
70225,33,10,F,2,98031.52,3,6,long_tenure,middle,medio
70576,43,22,F,3,84377.1,6,9,long_tenure,middle,medio
70863,85,12,F,2,157602.71000000002,6,9,long_tenure,old,alto
71159,29,5,F,2,46432.42,3,6,new,young,medio
71296,72,30,F,3,122614.26,3,6,long_tenure,old,medio
71476,53,4,U,2,39344.13,0,3,new,middle,medio
71626,78,14,F,2,367258.8,1,4,long_tenure,old,alto
72074,51,22,F,3,146135.76,6,9,long_tenure,middle,alto
72221,50,11,M,2,629755.24,6,9,long_tenure,middle,alto
72388,54,5,U,2,35943.57,1,4,new,middle,bajo
72395,48,18,M,2,208866.05,4,7,long_tenure,middle,alto
72915,39,5,M,3,215694.63,6,9,new,middle,alto
72916,34,4,U,2,30046.66,1,4,new,middle,bajo
72988,21,10,M,2,46803.96,3,6,long_tenure,young,medio
73331,50,14,F,2,58785.07,6,9,long_tenure,middle,medio
73335,37,12,M,2,68041.32,0,3,long_tenure,middle,medio
73453,56,16,M,2,1194883.41,6,9,long_tenure,middle,alto
73615,41,10,M,2,59781.96,0,3,long_tenure,middle,medio
73648,53,14,M,4,990626.8,3,6,long_tenure,middle,alto
73910,27,10,M,2,47739.17,1,4,long_tenure,young,medio
74169,35,4,U,4,56079.66,6,9,new,middle,medio
74564,58,4,U,2,69899.54999999999,2,5,new,middle,medio
74844,60,6,U,2,158375.89,3,7,new,old,alto
74976,47,10,M,2,90911.5,0,3,long_tenure,middle,medio
75033,69,10,M,2,105037.11,5,8,long_tenure,old,medio
75381,25,14,M,2,114364.65,0,3,long_tenure,young,medio
75490,24,8,M,2,35407.89,6,9,new,young,bajo
75642,77,18,M,3,478108.05,6,9,long_tenure,old,alto
76424,69,7,U,2,445627.21,6,9,new,old,alto
76429,29,18,M,2,41369.28999999999,6,9,long_tenure,young,medio
76481,62,6,U,2,808107.3500000001,2,5,new,old,alto
76635,24,10,M,2,143740.8,2,5,long_tenure,young,alto
76775,67,16,M,2,23853.6,4,7,long_tenure,old,bajo
76776,62,27,M,2,56115.88,1,4,long_tenure,old,medio
77071,46,5,U,2,35284.29,1,4,new,middle,bajo
77276,18,4,U,2,30116.53,1,4,new,young,bajo
77513,33,11,F,2,68765.19,1,4,long_tenure,middle,medio
77651,69,34,F,5,1666212.18,6,9,long_tenure,old,alto
77933,39,5,U,2,97418.69,3,6,new,middle,medio
78720,32,5,U,2,36404.37,2,5,new,young,bajo
78728,34,6,U,3,49798.3,4,7,new,middle,medio
78779,64,14,F,2,50922.85,6,9,long_tenure,old,medio
78917,68,24,M,2,341682.08,3,7,long_tenure,old,alto
79127,64,27,F,2,484262.45,6,9,long_tenure,old,alto
79229,42,15,F,2,62537.7,2,5,long_tenure,middle,medio
79452,45,10,F,2,25497.63,1,4,long_tenure,middle,bajo
79571,53,10,F,2,228555.67,4,7,long_tenure,middle,alto
79669,61,15,M,2,441028.66,6,9,long_tenure,old,alto
79679,57,14,F,2,35868.44,3,6,long_tenure,middle,bajo
79819,42,14,M,2,1272087.54,4,7,long_tenure,middle,alto
79897,54,7,U,2,56925.81,6,9,new,middle,medio
80006,71,29,M,2,107857.11,6,9,long_tenure,old,medio
80126,64,6,U,2,41674.77,1,4,new,old,medio
80127,45,15,M,4,178829.02999999997,6,9,long_tenure,middle,alto
80241,65,13,F,2,33963.69,4,7,long_tenure,old,bajo
80275,62,21,M,2,418691.28,2,5,long_tenure,old,alto
80479,64,20,M,2,29173.38,4,7,long_tenure,old,bajo
80559,51,15,F,3,44164.31,1,4,long_tenure,middle,medio
80801,36,13,M,2,62262.4,6,9,long_tenure,middle,medio
80915,48,9,M,2,71263.61,6,9,new,middle,medio
81102,58,34,M,3,135623.99,6,9,long_tenure,middle,medio
81119,31,4,U,2,39921.5,3,6,new,young,medio
81303,54,8,M,2,80813.12,6,9,new,middle,medio
81601,32,4,U,3,116399.3,5,8,new,young,medio
81720,67,10,F,3,57902.44,5,8,long_tenure,old,medio
81816,51,8,U,2,40549.35,0,3,new,middle,medio
81976,52,24,F,2,274847.33,0,3,long_tenure,middle,alto
82206,49,24,F,3,181894.53,4,7,long_tenure,middle,alto
82376,32,11,M,2,36187.4,6,9,long_tenure,young,bajo
82560,63,21,F,2,45624.72,4,7,long_tenure,old,medio
82566,74,12,M,2,25887.67,2,5,long_tenure,old,bajo
82712,59,22,F,3,255048.74,2,5,long_tenure,middle,alto
82723,35,4,U,2,77802.83,3,6,new,middle,medio
82772,46,6,U,2,77769.58,0,3,new,middle,medio
82869,27,8,U,2,32542.3,1,4,new,young,bajo
83158,54,16,F,2,65664.87,0,3,long_tenure,middle,medio
83447,48,17,M,2,190150.37,6,9,long_tenure,middle,alto
83507,25,8,U,2,27712.32,1,4,new,young,bajo
83585,33,5,U,3,69290.65,6,9,new,middle,medio
83683,31,5,U,2,62792.96,6,9,new,young,medio
83795,71,15,F,2,206570.43,6,9,long_tenure,old,alto
84108,60,6,U,2,269677.92,4,7,new,old,alto
